,table,field,field_after_change,is_closed
0,ddm_BundleInstances,Id,Id,0
1,ddm_BundleInstances,DataModelId,Data Model Id,0
2,ddm_BundleInstances,ParentType,Parent Type,0
3,ddm_BundleInstances,ParentId,Parent Id,0
4,ddm_BundleInstances,TypeGuid,Type Guid,0
5,ddm_BundleInstances,Name,Name,0
6,ddm_BundleInstances,IsRequired,Is Required,0
7,ddm_BundleInstances,IsDisabled,Is Disabled,0
8,ddm_BundleInstances,TableName,Table Name,0
9,ddm_BundleInstances,Label,Label,0
10,ddm_BundleInstances,Bookmark,Bookmark,0
11,ddm_DataModels,SoftwareGuid,Software Guid,0
12,ddm_DataModels,SoftwareEntityGuid,Software Entity Guid,0
13,ddm_DataModels,ScopeGuid,Scope Guid,0
14,ddm_FieldInstances,DefaultValue,Default Value,0
15,ddm_FieldInstances,RelationEntityId,Relation Entity Id,0
16,ddm_FieldInstances,Settings,Settings,0
17,ddm_LayoutItemRelations,LayoutId,Layout Id,0
18,ddm_LayoutItemRelations,LayoutItemId,Layout Item Id,0
19,ddm_LayoutItemRelations,RelationId,Relation Id,0
20,ddm_LayoutItemRelations,FieldInstanceId,Field Instance Id,0
21,ddm_LayoutItems,InstanceType,Instance Type,0
22,ddm_LayoutItems,InstanceId,Instance Id,0
23,ddm_LayoutItems,Type,Type,0
24,ddm_LayoutItems,EditWidgetId,Edit Widget Id,0
25,ddm_LayoutItems,DisplayWidgetId,Display Widget Id,0
26,ddm_LayoutItems,SearchWidgetId,Search Widget Id,0
27,ddm_LayoutItems,Design,Design,0
28,ddm_LayoutItemValidations,ValidationRuleGuid,Validation Rule Guid,0
29,ddm_Layouts,Key,Key,0
30,ddm_Layouts,EntityId,Entity Id,0
31,____UpdateHistory,ID,ID,1
32,____UpdateHistory,Date,Date,0
33,____UpdateHistory,DBChangesSequenceID,Changes Sequence ID,1
34,____UpdateHistory,DatabaseVersion,Database Version,0
35,____UpdateHistory,RunAfterDatabaseCreation,Run After Database Creation,0
36,____UpdateHistory,SessionGuid,Session Guid,0
37,____PatchScriptUpdateHistory,PatchScriptId,Patch Script Id,0
38,____PatchScriptUpdateHistory,InsertDate,Insert Date,0
39,____PatchScriptUpdateHistory,PatchName,Patch Name,0
40,ord_GainConditionAdvancedSettings,Guid,Guid,0
41,ord_GainConditionAdvancedSettings,Index,Index,0
42,ord_GainConditionAdvancedSettings,GainConditionSourceColumnType,Gain Condition Source Column Type,0
43,ord_GainConditionAdvancedSettings,GainConditionSourceColumnName,Gain Condition Source Column Name,0
44,ord_GainConditionAdvancedSettings,GainConditionDestinationColumnType,Gain Condition Destination Column Type,0
45,ord_GainConditionAdvancedSettings,GainConditionDestinationColumnName,Gain Condition Destination Column Name,0
46,ord_GainConditionAdvancedSettings,Message,Message,0
47,ord_ReferenceFields,Code,Code,0
48,ord_ReferenceFields,Title,Title,0
49,ord_ReferenceFields,ExternalCode1,External Code,0
50,ord_ReferenceFields,UseQuickSearch,Use Quick Search,0
51,ord_ReferenceFields,Active,Active,0
52,ord_ReferenceFields,Deleted,Deleted,0
53,ord_ReferenceFields,TenantGuid,Tenant Guid,0
54,ord_ReferenceFieldValues,ReferenceFieldID,Reference Field ID,1
55,ord_AuditEntityLogs,EntityGuid,Entity Guid,0
56,ord_AuditEntityLogs,EventDate,Event Date,0
57,ord_AuditEntityLogs,EventType,Event Type,0
58,ord_AuditEntityLogs,UserID,User ID,1
59,ord_AuditEntityLogs,Data,Data,0
60,ord_PostFormSettingEmploymentTypes,PostFormSettingGuid,Post Form Setting Guid,0
61,ord_PostFormSettingEmploymentTypes,EmploymentTypeGuid,Employment Type Guid,0
62,ord_PostLogPostRanks,PostLogID,Post Log ID,1
63,ord_PostLogPostRanks,PostRankID,Post Rank ID,1
64,ord_SuggestionPostCostCenters-old,SuggestionPostGuid,Suggestion Post Guid,0
65,ord_SuggestionPostCostCenters-old,CostCenterGuid,Cost Center Guid,0
66,ord_SuggestionPosts,ParentGuid-old,Parent Guidold,0
67,ord_SuggestionPosts,UnitGuid-old,Unit Guidold,0
68,ord_SuggestionPosts,FullTitle,Full Title,0
69,ord_SuggestionPosts,PostCode,Post Code,0
70,ord_SuggestionPosts,JobID,Job ID,1
71,ord_SuggestionPosts,Order-old,Orderold,0
72,ord_SuggestionPosts,BasePostGuid,Base Post Guid,0
73,ord_SuggestionPosts,PostTypeID,Post Type ID,1
74,ord_SuggestionPosts,PostGradeID,Post Grade ID,1
75,ord_SuggestionPosts,PostNatureID,Post Nature ID,1
76,ord_SuggestionPosts,PostOperationalNatureID,Post Operational Nature ID,1
77,ord_SuggestionPosts,PostJobCategoryID,Post Job Category ID,1
78,ord_SuggestionPosts,PostJobFieldID,Post Job Field ID,1
79,ord_SuggestionPosts,MinimumWorkingDuration,Minimum Working Duration,0
80,ord_SuggestionPosts,CommissionDuration,Commission Duration,0
81,ord_SuggestionPosts,MinimumTrainingHours,Minimum Training Hours,0
82,ord_SuggestionPosts,Comments,Comments,0
83,ord_SuggestionPosts,Ruling,Ruling,0
84,ord_SuggestionPosts,CommissionStatus,Commission Status,0
85,ord_SuggestionPosts,CommissionType,Commission Type,0
86,ord_SuggestionPosts,PostStatus,Post Status,0
87,ord_SuggestionPosts,PostLackOfSuctionLevelID,Post Lack Of Suction Level ID,1
88,ord_SuggestionPosts,NumberPersonUnderDirectSupervisor,Number Person Under Direct Supervisor,0
89,ord_SuggestionPosts,NumberPersonUnderIndirectSupervisor,Number Person Under Indirect Supervisor,0
90,ord_SuggestionPosts,BudgetCenterID,Budget Center ID,1
91,ord_SuggestionPosts,Passed,Passed,0
92,ord_SuggestionPosts,PersonnelBaseID,Personnel Base ID,1
93,ord_SuggestionPosts,Deleted-old,Deletedold,0
94,ord_SuggestionPosts,PostHierarchy-old,Post Hierarchyold,0
95,ord_SuggestionPosts,SuggestionStructureGuid-old,Suggestion Structure Guidold,0
96,ord_SuggestionStructures,ApprovalDate,Approval Date,0
97,ord_SuggestionStructures,ExecutiveDate,Executive Date,0
98,ord_SuggestionStructures,InWorkflow,In Workflow,0
99,ord_SuggestionStructures,WorkflowStatus,Workflow Status,0
100,ord_SuggestionStructures,RunDate,Run Date,0
101,ord_SuggestionStructures,BaseStructureGuid,Base Structure Guid,0
102,ord_SuggestionStructures,BaseStructureDate,Base Structure Date,0
103,ord_SuggestionStructures,SampleStructure,Sample Structure,0
104,ord_SuggestionStructures,SampleStructureGuid,Sample Structure Guid,0
105,ord_SuggestionStructures,SuggestionDate,Suggestion Date,0
106,ord_SuggestionUnitCostCenters,SuggestionUnitGuid,Suggestion Unit Guid,0
107,ord_SuggestionUnits,Flag,Flag,0
